1	3	4	8	8	8	11	1	9,P6	10	11	11	Z	7
1	1	F	8,P2	8,P2	8,P2	8,P2	1	F	10	11,P2	F	F	14,P2
2	1	F	8,P2	8,P2	8,P2	8,P2	1	F	10	11,P2	F	F	14,P2
F	3	4	8,P3	8,P3	8,P3	8,P3	5	F	10,P3	11,P3	F	F	14,P2
F	4	15,P3	8,P3	8,P3	8,P3	8,P3	6	F	10,P3	11,P3	F	F	14,P2
F	5	6	8,P3	8,P3	8,P3	8,P3	F	F	10,P3	11,P3	F	F	14,P2
F	6	F	8,P3	8,P3	8,P3	8,P3	F	F	10,P3	11,P3	F	F	14,P2
1,P5	3,P5	3,P5	F	F	F	0,P6	1,P5	9,P5	10,P5	11,P5	F	F	F
1,P5	3,P5	3,P5	F	F	F	F	1,P5	9,P5	10,P5	11,P5	F	F	F
9	9	9	9	9	9	9	9	0,P7	9	9	9	F	9
10	10	10	10	10	10	10	10	10	10	10	10	10	10
1,P4	3,P4	3,P3	F	F	F	F	1,P4	F	F	0,P4	0,P4	0,P4	14,P4
1,P5	3,P5	3,P5	F	8,P6	7,P5	0,P6	1,P5	F	F	11,P5	F	F	F
1,P5	3,P5	3,P5	F	F	7,P5	0,P6	1,P5	F	F	11,P5	F	F	F
1,P4	3,P4	3,P4	F	F	F	8,P6	1,P4	F	F	11,P4	F	F	F
F	4	0,P4	F	F	F	F	F	F	F	F	F	F	F
